date,total ,
01-01-1986,9034,
01-02-1986,9596,
01-03-1986,10558,
01-04-1986,9002,
01-05-1986,9239,
01-06-1986,8951,
01-07-1986,9668,
01-08-1986,10188,
01-09-1986,9896,
01-10-1986,10649,
01-11-1986,8917,
01-12-1986,8196,
01-01-1987,10768,
01-02-1987,12220,
01-03-1987,14463,
01-04-1987,12944,
01-05-1987,11001,
01-06-1987,11000,
01-07-1987,11876,
01-08-1987,13021,
01-09-1987,13494,
01-10-1987,14041,
01-11-1987,11312,
01-12-1987,10362,
01-01-1988,12533,
01-02-1988,14343,
01-03-1988,14676,
01-04-1988,12253,
01-05-1988,11840,
01-06-1988,12018,
01-07-1988,11819,
01-08-1988,12453,
01-09-1988,12309,
01-10-1988,13005,
01-11-1988,11815,
01-12-1988,10496,
01-01-1989,13996,
01-02-1989,15158,
01-03-1989,15587,
01-04-1989,14615,
01-05-1989,14792,
01-06-1989,14373,
01-07-1989,14573,
01-08-1989,14385,
01-09-1989,15607,
01-10-1989,15978,
01-11-1989,14436,
01-12-1989,12794,
01-01-1990,15771,
01-02-1990,16476,
01-03-1990,16420,
01-04-1990,15444,
01-05-1990,16118,
01-06-1990,15158,
01-07-1990,15214,
01-08-1990,16257,
01-09-1990,15287,
01-10-1990,15212,
01-11-1990,13488,
01-12-1990,12300,
01-01-1991,15794,
01-02-1991,17113,
01-03-1991,17536,
01-04-1991,15914,
01-05-1991,16716,
01-06-1991,15983,
01-07-1991,16878,
01-08-1991,17893,
01-09-1991,16697,
01-10-1991,18546,
01-11-1991,15486,
01-12-1991,15253,
01-01-1992,18698,
01-02-1992,21100,
01-03-1992,22425,
01-04-1992,19923,
01-05-1992,19454,
01-06-1992,18874,
01-07-1992,19676,
01-08-1992,19559,
01-09-1992,19500,
01-10-1992,19615,
01-11-1992,16814,
01-12-1992,15698,
01-01-1993,20273,
01-02-1993,20774,
01-03-1993,21309,
01-04-1993,19377,
01-05-1993,19211,
01-06-1993,19103,
01-07-1993,20086,
01-08-1993,19758,
01-09-1993,19162,
01-10-1993,19371,
01-11-1993,17709,
01-12-1993,17342,
01-01-1994,18772,
01-02-1994,19363,
01-03-1994,20001,
01-04-1994,17112,
01-05-1994,18027,
01-06-1994,17173,
